"layer","level","class","id","metric","value","areasqkm"
1,"patch",1,1,"area",0.05,5e-04
1,"patch",1,2,"area",0.21,0.0021
1,"patch",1,3,"area",0.08,8e-04
1,"patch",1,4,"area",0.01,1e-04
1,"patch",1,5,"area",0.17,0.0017
1,"patch",1,6,"area",0.02,2e-04
1,"patch",1,7,"area",0.01,1e-04
1,"patch",1,8,"area",0.01,1e-04
1,"patch",1,9,"area",0.02,2e-04
1,"patch",1,10,"area",2.51,0.0251
1,"patch",1,11,"area",0.01,1e-04
1,"patch",1,12,"area",0.05,5e-04
1,"patch",1,13,"area",0.02,2e-04
1,"patch",1,14,"area",0.22,0.0022
1,"patch",1,15,"area",0.2,0.002
1,"patch",1,16,"area",0.07,7e-04
1,"patch",1,17,"area",1.22,0.0122
1,"patch",1,18,"area",0.02,2e-04
1,"patch",1,19,"area",0.02,2e-04
1,"patch",1,20,"area",3.23,0.0323
1,"patch",1,21,"area",2.25,0.0225
1,"patch",1,22,"area",4.14,0.0414
1,"patch",1,23,"area",0.04,4e-04
1,"patch",1,24,"area",0.02,2e-04
1,"patch",1,25,"area",0.03,3e-04
1,"patch",1,26,"area",0.01,1e-04
1,"patch",1,27,"area",0.09,9e-04
1,"patch",1,28,"area",0.07,7e-04
1,"patch",1,29,"area",0.01,1e-04
1,"patch",1,30,"area",0.64,0.0064
1,"patch",1,31,"area",0.01,1e-04
1,"patch",1,32,"area",0.19,0.0019
1,"patch",1,33,"area",0.33,0.0033
1,"patch",1,34,"area",0.23,0.0023
1,"patch",1,35,"area",0.08,8e-04
1,"patch",1,36,"area",1.82,0.0182
1,"patch",1,37,"area",4.55,0.0455
1,"patch",1,38,"area",0.01,1e-04
1,"patch",1,39,"area",1.21,0.0121
1,"patch",1,40,"area",0.15,0.0015
1,"patch",1,41,"area",0.03,3e-04
1,"patch",1,42,"area",0.04,4e-04
1,"patch",1,43,"area",0.01,1e-04
1,"patch",1,44,"area",0.01,1e-04
1,"patch",1,45,"area",0.07,7e-04
1,"patch",1,46,"area",0.2,0.002
1,"patch",1,47,"area",0.16,0.0016
1,"patch",1,48,"area",0.3,0.003
1,"patch",1,49,"area",0.19,0.0019
1,"patch",1,50,"area",0.75,0.0075
1,"patch",1,51,"area",0.24,0.0024
1,"patch",1,52,"area",10.53,0.1053
