"layer","level","class","id","metric","value"
1,"patch",1,1,"shape",1.34164078649987
1,"patch",1,2,"shape",1.30930734141595
1,"patch",1,3,"shape",1.23743686707646
1,"patch",1,4,"shape",1
1,"patch",1,5,"shape",1.33394593769983
1,"patch",1,6,"shape",1.06066017177982
1,"patch",1,7,"shape",1
1,"patch",1,8,"shape",1
1,"patch",1,9,"shape",1.06066017177982
1,"patch",1,10,"shape",1.70422488836407
1,"patch",1,11,"shape",1
1,"patch",1,12,"shape",1.11803398874989
1,"patch",1,13,"shape",1.06066017177982
1,"patch",1,14,"shape",1.27920429813366
1,"patch",1,15,"shape",1.45344418537486
1,"patch",1,16,"shape",1.13389341902768
1,"patch",1,17,"shape",1.40330406365904
1,"patch",1,18,"shape",1.06066017177982
1,"patch",1,19,"shape",1.06066017177982
1,"patch",1,20,"shape",1.39103721018664
1,"patch",1,21,"shape",1.7
1,"patch",1,22,"shape",2.5310869139924
1,"patch",1,23,"shape",1.5
1,"patch",1,24,"shape",1.06066017177982
1,"patch",1,25,"shape",1.15470053837925
1,"patch",1,26,"shape",1
1,"patch",1,27,"shape",1.33333333333333
1,"patch",1,28,"shape",1.13389341902768
1,"patch",1,29,"shape",1
1,"patch",1,30,"shape",1.25
1,"patch",1,31,"shape",1
1,"patch",1,32,"shape",1.37649440322337
1,"patch",1,33,"shape",1.30558241966773
1,"patch",1,34,"shape",1.35534369137099
1,"patch",1,35,"shape",1.23743686707646
1,"patch",1,36,"shape",2.00137315498497
1,"patch",1,37,"shape",1.71114639292551
1,"patch",1,38,"shape",1
1,"patch",1,39,"shape",1.36363636363636
1,"patch",1,40,"shape",1.16189500386223
1,"patch",1,41,"shape",1.15470053837925
1,"patch",1,42,"shape",1.25
1,"patch",1,43,"shape",1
1,"patch",1,44,"shape",1
1,"patch",1,45,"shape",1.51185789203691
1,"patch",1,46,"shape",1.22983738762488
1,"patch",1,47,"shape",1.625
1,"patch",1,48,"shape",1.27801930084539
1,"patch",1,49,"shape",1.26178653628809
