"layer","level","class","id","metric","value","areasqkm"
1,"patch",1,1,"area",81260.05,812.6005
1,"patch",1,2,"area",0.01,1e-04
1,"patch",1,3,"area",0.01,1e-04
1,"patch",1,4,"area",0.01,1e-04
1,"patch",1,5,"area",0.85,0.0085
1,"patch",1,6,"area",0.15,0.0015
1,"patch",1,7,"area",0.07,7e-04
1,"patch",1,8,"area",0.29,0.0029
1,"patch",1,9,"area",0.01,1e-04
1,"patch",1,10,"area",0.61,0.0061
1,"patch",1,11,"area",0.01,1e-04
1,"patch",1,12,"area",0.02,2e-04
1,"patch",1,13,"area",0.02,2e-04
1,"patch",1,14,"area",0.2,0.002
1,"patch",1,15,"area",0.07,7e-04
1,"patch",1,16,"area",0.19,0.0019
1,"patch",1,17,"area",0.08,8e-04
1,"patch",1,18,"area",0.01,1e-04
1,"patch",1,19,"area",6.15,0.0615
1,"patch",1,20,"area",0.09,9e-04
1,"patch",1,21,"area",3.55,0.0355
1,"patch",1,22,"area",0.04,4e-04
1,"patch",1,23,"area",0.18,0.0018
1,"patch",1,24,"area",0.12,0.0012
1,"patch",1,25,"area",0.19,0.0019
1,"patch",1,26,"area",0.05,5e-04
1,"patch",1,27,"area",0.11,0.0011
1,"patch",1,28,"area",0.04,4e-04
1,"patch",1,29,"area",0.06,6e-04
1,"patch",1,30,"area",0.08,8e-04
1,"patch",1,31,"area",0.02,2e-04
1,"patch",1,32,"area",0.08,8e-04
1,"patch",1,33,"area",0.02,2e-04
1,"patch",1,34,"area",0.02,2e-04
1,"patch",1,35,"area",0.02,2e-04
1,"patch",1,36,"area",0.13,0.0013
1,"patch",1,37,"area",0.02,2e-04
1,"patch",1,38,"area",0.02,2e-04
1,"patch",1,39,"area",0.02,2e-04
1,"patch",1,40,"area",0.14,0.0014
1,"patch",1,41,"area",0.08,8e-04
1,"patch",1,42,"area",0.01,1e-04
1,"patch",1,43,"area",0.08,8e-04
1,"patch",1,44,"area",0.08,8e-04
1,"patch",1,45,"area",0.01,1e-04
1,"patch",1,46,"area",13.62,0.1362
1,"patch",1,47,"area",12.31,0.1231
1,"patch",1,48,"area",0.34,0.0034
1,"patch",1,49,"area",731.37,7.3137
1,"patch",1,50,"area",24.1,0.241
1,"patch",1,51,"area",0.19,0.0019
1,"patch",1,52,"area",0.01,1e-04
1,"patch",1,53,"area",0.01,1e-04
1,"patch",1,54,"area",0.02,2e-04
1,"patch",1,55,"area",1.31,0.0131
1,"patch",1,56,"area",0.04,4e-04
1,"patch",1,57,"area",849.39,8.4939
1,"patch",1,58,"area",4.78,0.0478
1,"patch",1,59,"area",0.02,2e-04
1,"patch",1,60,"area",1.03,0.0103
1,"patch",1,61,"area",0.09,9e-04
1,"patch",1,62,"area",0.05,5e-04
1,"patch",1,63,"area",0.09,9e-04
1,"patch",1,64,"area",0.01,1e-04
1,"patch",1,65,"area",0.05,5e-04
1,"patch",1,66,"area",0.11,0.0011
1,"patch",1,67,"area",0.01,1e-04
1,"patch",1,68,"area",0.05,5e-04
1,"patch",1,69,"area",0.01,1e-04
1,"patch",1,70,"area",0.12,0.0012
1,"patch",1,71,"area",0.01,1e-04
1,"patch",1,72,"area",0.53,0.0053
1,"patch",1,73,"area",15387.4,153.874
1,"patch",1,74,"area",6.63,0.0663
1,"patch",1,75,"area",1.64,0.0164
1,"patch",1,76,"area",0.05,5e-04
1,"patch",1,77,"area",0.01,1e-04
1,"patch",1,78,"area",41.15,0.4115
1,"patch",1,79,"area",7.26,0.0726
1,"patch",1,80,"area",0.01,1e-04
1,"patch",1,81,"area",0.02,2e-04
1,"patch",1,82,"area",1.2,0.012
1,"patch",1,83,"area",4.4,0.044
1,"patch",1,84,"area",0.01,1e-04
1,"patch",1,85,"area",0.68,0.0068
1,"patch",1,86,"area",0.04,4e-04
1,"patch",1,87,"area",0.01,1e-04
1,"patch",1,88,"area",0.21,0.0021
1,"patch",1,89,"area",0.01,1e-04
1,"patch",1,90,"area",0.17,0.0017
1,"patch",1,91,"area",0.1,0.001
1,"patch",1,92,"area",1.92,0.0192
1,"patch",1,93,"area",0.01,1e-04
1,"patch",1,94,"area",0.01,1e-04
1,"patch",1,95,"area",1.34,0.0134
1,"patch",1,96,"area",1.23,0.0123
1,"patch",1,97,"area",12.79,0.1279
1,"patch",1,98,"area",0.02,2e-04
1,"patch",1,99,"area",0.01,1e-04
1,"patch",1,100,"area",0.03,3e-04
1,"patch",1,101,"area",0.01,1e-04
1,"patch",1,102,"area",0.04,4e-04
1,"patch",1,103,"area",0.01,1e-04
1,"patch",1,104,"area",0.02,2e-04
1,"patch",1,105,"area",0.09,9e-04
1,"patch",1,106,"area",0.01,1e-04
1,"patch",1,107,"area",0.02,2e-04
