"layer","level","class","id","metric","value","prop_edge"
1,"patch",1,1,"cai",87.5679992813197,12.4320007186803
1,"patch",1,2,"cai",0,100
1,"patch",1,3,"cai",0,100
1,"patch",1,4,"cai",0,100
1,"patch",1,5,"cai",0,100
1,"patch",1,6,"cai",0,100
1,"patch",1,7,"cai",0,100
1,"patch",1,8,"cai",0,100
1,"patch",1,9,"cai",0,100
1,"patch",1,10,"cai",0,100
1,"patch",1,11,"cai",0,100
1,"patch",1,12,"cai",0,100
1,"patch",1,13,"cai",0,100
1,"patch",1,14,"cai",0,100
1,"patch",1,15,"cai",0,100
1,"patch",1,16,"cai",0,100
1,"patch",1,17,"cai",0,100
1,"patch",1,18,"cai",0,100
1,"patch",1,19,"cai",0,100
1,"patch",1,20,"cai",0,100
1,"patch",1,21,"cai",0,100
1,"patch",1,22,"cai",0,100
1,"patch",1,23,"cai",0,100
1,"patch",1,24,"cai",0,100
1,"patch",1,25,"cai",0,100
1,"patch",1,26,"cai",0,100
1,"patch",1,27,"cai",0,100
1,"patch",1,28,"cai",0,100
1,"patch",1,29,"cai",0,100
1,"patch",1,30,"cai",0,100
1,"patch",1,31,"cai",0,100
1,"patch",1,32,"cai",0,100
1,"patch",1,33,"cai",0,100
1,"patch",1,34,"cai",0,100
1,"patch",1,35,"cai",0,100
1,"patch",1,36,"cai",0,100
1,"patch",1,37,"cai",0,100
1,"patch",1,38,"cai",0,100
1,"patch",1,39,"cai",0,100
1,"patch",1,40,"cai",0,100
1,"patch",1,41,"cai",0,100
1,"patch",1,42,"cai",0,100
1,"patch",1,43,"cai",0,100
1,"patch",1,44,"cai",0,100
1,"patch",1,45,"cai",0,100
1,"patch",1,46,"cai",10.8663729809104,89.1336270190896
1,"patch",1,47,"cai",0.324939073923639,99.6750609260764
1,"patch",1,48,"cai",0,100
1,"patch",1,49,"cai",75.8576370373409,24.1423629626591
1,"patch",1,50,"cai",29.9585062240664,70.0414937759336
1,"patch",1,51,"cai",0,100
1,"patch",1,52,"cai",0,100
1,"patch",1,53,"cai",0,100
1,"patch",1,54,"cai",0,100
1,"patch",1,55,"cai",0,100
1,"patch",1,56,"cai",0,100
1,"patch",1,57,"cai",68.9848008570857,31.0151991429143
1,"patch",1,58,"cai",0,100
1,"patch",1,59,"cai",0,100
1,"patch",1,60,"cai",0,100
1,"patch",1,61,"cai",0,100
1,"patch",1,62,"cai",0,100
1,"patch",1,63,"cai",0,100
1,"patch",1,64,"cai",0,100
1,"patch",1,65,"cai",0,100
1,"patch",1,66,"cai",0,100
1,"patch",1,67,"cai",0,100
1,"patch",1,68,"cai",0,100
1,"patch",1,69,"cai",0,100
1,"patch",1,70,"cai",0,100
1,"patch",1,71,"cai",0,100
1,"patch",1,72,"cai",0,100
1,"patch",1,73,"cai",83.0370952857533,16.9629047142467
1,"patch",1,74,"cai",4.37405731523379,95.6259426847662
1,"patch",1,75,"cai",0,100
1,"patch",1,76,"cai",0,100
1,"patch",1,77,"cai",0,100
1,"patch",1,78,"cai",9.16160388821385,90.8383961117862
1,"patch",1,79,"cai",0,100
1,"patch",1,80,"cai",0,100
1,"patch",1,81,"cai",0,100
1,"patch",1,82,"cai",0,100
1,"patch",1,83,"cai",0,100
1,"patch",1,84,"cai",0,100
1,"patch",1,85,"cai",0,100
1,"patch",1,86,"cai",0,100
1,"patch",1,87,"cai",0,100
1,"patch",1,88,"cai",0,100
1,"patch",1,89,"cai",0,100
1,"patch",1,90,"cai",0,100
1,"patch",1,91,"cai",0,100
1,"patch",1,92,"cai",0,100
1,"patch",1,93,"cai",0,100
1,"patch",1,94,"cai",0,100
1,"patch",1,95,"cai",0,100
1,"patch",1,96,"cai",0,100
1,"patch",1,97,"cai",0,100
1,"patch",1,98,"cai",0,100
1,"patch",1,99,"cai",0,100
1,"patch",1,100,"cai",0,100
1,"patch",1,101,"cai",0,100
1,"patch",1,102,"cai",0,100
1,"patch",1,103,"cai",0,100
1,"patch",1,104,"cai",0,100
1,"patch",1,105,"cai",0,100
1,"patch",1,106,"cai",0,100
1,"patch",1,107,"cai",0,100
1,"patch",1,108,"cai",0,100
1,"patch",1,109,"cai",0,100
1,"patch",1,110,"cai",0,100
1,"patch",1,111,"cai",0,100
1,"patch",1,112,"cai",0,100
1,"patch",1,113,"cai",0,100
1,"patch",1,114,"cai",0,100
1,"patch",1,115,"cai",0,100
1,"patch",1,116,"cai",0,100
1,"patch",1,117,"cai",0,100
1,"patch",1,118,"cai",0,100
1,"patch",1,119,"cai",0,100
1,"patch",1,120,"cai",0,100
1,"patch",1,121,"cai",0,100
1,"patch",1,122,"cai",0,100
1,"patch",1,123,"cai",0,100
1,"patch",1,124,"cai",0,100
1,"patch",1,125,"cai",0,100
1,"patch",1,126,"cai",0,100
1,"patch",1,127,"cai",0,100
1,"patch",1,128,"cai",29.6052631578947,70.3947368421053
1,"patch",1,129,"cai",7.69980506822612,92.3001949317739
1,"patch",1,130,"cai",0,100
1,"patch",1,131,"cai",0,100
1,"patch",1,132,"cai",0,100
1,"patch",1,133,"cai",0,100
1,"patch",1,134,"cai",0,100
1,"patch",1,135,"cai",0,100
1,"patch",1,136,"cai",0,100
1,"patch",1,137,"cai",0,100
1,"patch",1,138,"cai",0,100
1,"patch",1,139,"cai",0,100
1,"patch",1,140,"cai",0,100
1,"patch",1,141,"cai",0,100
1,"patch",1,142,"cai",0,100
1,"patch",1,143,"cai",0,100
1,"patch",1,144,"cai",0,100
1,"patch",1,145,"cai",0,100
1,"patch",1,146,"cai",0,100
1,"patch",1,147,"cai",0,100
1,"patch",1,148,"cai",0,100
1,"patch",1,149,"cai",0,100
1,"patch",1,150,"cai",0,100
1,"patch",1,151,"cai",0,100
1,"patch",1,152,"cai",0,100
1,"patch",1,153,"cai",32.8059046855472,67.1940953144528
1,"patch",1,154,"cai",0,100
1,"patch",1,155,"cai",0,100
1,"patch",1,156,"cai",0,100
1,"patch",1,157,"cai",0,100
1,"patch",1,158,"cai",0,100
1,"patch",1,159,"cai",2.67857142857143,97.3214285714286
1,"patch",1,160,"cai",0,100
1,"patch",1,161,"cai",0,100
1,"patch",1,162,"cai",55.9225011008366,44.0774988991634
1,"patch",1,163,"cai",0,100
1,"patch",1,164,"cai",0,100
1,"patch",1,165,"cai",0,100
1,"patch",1,166,"cai",0,100
1,"patch",1,167,"cai",0,100
1,"patch",1,168,"cai",0,100
1,"patch",1,169,"cai",0,100
1,"patch",1,170,"cai",0,100
1,"patch",1,171,"cai",0,100
1,"patch",1,172,"cai",0,100
1,"patch",1,173,"cai",0,100
1,"patch",1,174,"cai",19.1319895968791,80.8680104031209
1,"patch",1,175,"cai",0,100
1,"patch",1,176,"cai",0,100
1,"patch",1,177,"cai",0,100
1,"patch",1,178,"cai",0,100
1,"patch",1,179,"cai",0,100
1,"patch",1,180,"cai",0,100
1,"patch",1,181,"cai",0,100
1,"patch",1,182,"cai",0,100
1,"patch",1,183,"cai",35.1057327955018,64.8942672044982
1,"patch",1,184,"cai",0,100
1,"patch",1,185,"cai",0,100
1,"patch",1,186,"cai",0,100
1,"patch",1,187,"cai",0,100
1,"patch",1,188,"cai",0,100
1,"patch",1,189,"cai",12.7960116327378,87.2039883672622
1,"patch",1,190,"cai",0,100
1,"patch",1,191,"cai",0,100
1,"patch",1,192,"cai",0,100
1,"patch",1,193,"cai",0,100
1,"patch",1,194,"cai",0,100
1,"patch",1,195,"cai",0,100
1,"patch",1,196,"cai",0,100
1,"patch",1,197,"cai",0,100
