"layer","level","class","id","metric","value","coreareasqkm"
1,"patch",1,1,"core",71157.8,711.578
1,"patch",1,2,"core",0,0
1,"patch",1,3,"core",0,0
1,"patch",1,4,"core",0,0
1,"patch",1,5,"core",0,0
1,"patch",1,6,"core",0,0
1,"patch",1,7,"core",0,0
1,"patch",1,8,"core",0,0
1,"patch",1,9,"core",0,0
1,"patch",1,10,"core",0,0
1,"patch",1,11,"core",0,0
1,"patch",1,12,"core",0,0
1,"patch",1,13,"core",0,0
1,"patch",1,14,"core",0,0
1,"patch",1,15,"core",0,0
1,"patch",1,16,"core",0,0
1,"patch",1,17,"core",0,0
1,"patch",1,18,"core",0,0
1,"patch",1,19,"core",0,0
1,"patch",1,20,"core",0,0
1,"patch",1,21,"core",0,0
1,"patch",1,22,"core",0,0
1,"patch",1,23,"core",0,0
1,"patch",1,24,"core",0,0
1,"patch",1,25,"core",0,0
1,"patch",1,26,"core",0,0
1,"patch",1,27,"core",0,0
1,"patch",1,28,"core",0,0
1,"patch",1,29,"core",0,0
1,"patch",1,30,"core",0,0
1,"patch",1,31,"core",0,0
1,"patch",1,32,"core",0,0
1,"patch",1,33,"core",0,0
1,"patch",1,34,"core",0,0
1,"patch",1,35,"core",0,0
1,"patch",1,36,"core",0,0
1,"patch",1,37,"core",0,0
1,"patch",1,38,"core",0,0
1,"patch",1,39,"core",0,0
1,"patch",1,40,"core",0,0
1,"patch",1,41,"core",0,0
1,"patch",1,42,"core",0,0
1,"patch",1,43,"core",0,0
1,"patch",1,44,"core",0,0
1,"patch",1,45,"core",0,0
1,"patch",1,46,"core",1.48,0.0148
1,"patch",1,47,"core",0.04,4e-04
1,"patch",1,48,"core",0,0
1,"patch",1,49,"core",554.8,5.548
1,"patch",1,50,"core",7.22,0.0722
1,"patch",1,51,"core",0,0
1,"patch",1,52,"core",0,0
1,"patch",1,53,"core",0,0
1,"patch",1,54,"core",0,0
1,"patch",1,55,"core",0,0
1,"patch",1,56,"core",0,0
1,"patch",1,57,"core",585.95,5.8595
1,"patch",1,58,"core",0,0
1,"patch",1,59,"core",0,0
1,"patch",1,60,"core",0,0
1,"patch",1,61,"core",0,0
1,"patch",1,62,"core",0,0
1,"patch",1,63,"core",0,0
1,"patch",1,64,"core",0,0
1,"patch",1,65,"core",0,0
1,"patch",1,66,"core",0,0
1,"patch",1,67,"core",0,0
1,"patch",1,68,"core",0,0
1,"patch",1,69,"core",0,0
1,"patch",1,70,"core",0,0
1,"patch",1,71,"core",0,0
1,"patch",1,72,"core",0,0
1,"patch",1,73,"core",12777.25,127.7725
1,"patch",1,74,"core",0.29,0.0029
1,"patch",1,75,"core",0,0
1,"patch",1,76,"core",0,0
1,"patch",1,77,"core",0,0
1,"patch",1,78,"core",3.77,0.0377
1,"patch",1,79,"core",0,0
1,"patch",1,80,"core",0,0
1,"patch",1,81,"core",0,0
1,"patch",1,82,"core",0,0
1,"patch",1,83,"core",0,0
1,"patch",1,84,"core",0,0
1,"patch",1,85,"core",0,0
1,"patch",1,86,"core",0,0
1,"patch",1,87,"core",0,0
1,"patch",1,88,"core",0,0
1,"patch",1,89,"core",0,0
1,"patch",1,90,"core",0,0
1,"patch",1,91,"core",0,0
1,"patch",1,92,"core",0,0
1,"patch",1,93,"core",0,0
1,"patch",1,94,"core",0,0
1,"patch",1,95,"core",0,0
1,"patch",1,96,"core",0,0
1,"patch",1,97,"core",0,0
1,"patch",1,98,"core",0,0
1,"patch",1,99,"core",0,0
1,"patch",1,100,"core",0,0
1,"patch",1,101,"core",0,0
1,"patch",1,102,"core",0,0
1,"patch",1,103,"core",0,0
1,"patch",1,104,"core",0,0
1,"patch",1,105,"core",0,0
1,"patch",1,106,"core",0,0
1,"patch",1,107,"core",0,0
1,"patch",1,108,"core",0,0
1,"patch",1,109,"core",0,0
1,"patch",1,110,"core",0,0
1,"patch",1,111,"core",0,0
