"layer","level","class","id","metric","value"
1,"patch",1,1,"shape",11.4366555152897
1,"patch",1,2,"shape",1
1,"patch",1,3,"shape",1
1,"patch",1,4,"shape",1
1,"patch",1,5,"shape",1.51851320473059
1,"patch",1,6,"shape",1.29099444873581
1,"patch",1,7,"shape",1.3228756555323
1,"patch",1,8,"shape",1.29986736723936
1,"patch",1,9,"shape",1
1,"patch",1,10,"shape",1.34438723929541
1,"patch",1,11,"shape",1
1,"patch",1,12,"shape",1.06066017177982
1,"patch",1,13,"shape",1.06066017177982
1,"patch",1,14,"shape",1.56524758424985
1,"patch",1,15,"shape",1.3228756555323
1,"patch",1,16,"shape",1.37649440322337
1,"patch",1,17,"shape",1.23743686707646
1,"patch",1,18,"shape",1
1,"patch",1,19,"shape",2.90332021876384
1,"patch",1,20,"shape",1.16666666666667
1,"patch",1,21,"shape",2.86602241914509
1,"patch",1,22,"shape",1.5
1,"patch",1,23,"shape",2.59272486435067
1,"patch",1,24,"shape",1.15470053837925
1,"patch",1,25,"shape",1.83532587096449
1,"patch",1,26,"shape",1.56524758424985
1,"patch",1,27,"shape",2.26133508433323
1,"patch",1,28,"shape",1.25
1,"patch",1,29,"shape",2.44948974278318
1,"patch",1,30,"shape",2.12132034355964
1,"patch",1,31,"shape",1.41421356237309
1,"patch",1,32,"shape",2.82842712474619
1,"patch",1,33,"shape",1.41421356237309
1,"patch",1,34,"shape",1.41421356237309
1,"patch",1,35,"shape",1.41421356237309
1,"patch",1,36,"shape",2.63482593206984
1,"patch",1,37,"shape",1.41421356237309
1,"patch",1,38,"shape",1.41421356237309
1,"patch",1,39,"shape",1.41421356237309
1,"patch",1,40,"shape",3.20713490294909
1,"patch",1,41,"shape",2.82842712474619
1,"patch",1,42,"shape",1
1,"patch",1,43,"shape",2.12132034355964
1,"patch",1,44,"shape",2.47487373415292
1,"patch",1,45,"shape",1
1,"patch",1,46,"shape",1.72062081136581
1,"patch",1,47,"shape",2.37989309537429
1,"patch",1,48,"shape",1.37198868114007
1,"patch",1,49,"shape",2.8527739450944
1,"patch",1,50,"shape",1.58886164526709
1,"patch",1,51,"shape",1.37649440322337
1,"patch",1,52,"shape",1
1,"patch",1,53,"shape",1
1,"patch",1,54,"shape",1.41421356237309
1,"patch",1,55,"shape",1.48529689632376
1,"patch",1,56,"shape",1.25
1,"patch",1,57,"shape",4.57550936083247
1,"patch",1,58,"shape",2.28694676873174
1,"patch",1,59,"shape",1.41421356237309
1,"patch",1,60,"shape",1.42872745333823
1,"patch",1,61,"shape",2.5
1,"patch",1,62,"shape",1.34164078649987
1,"patch",1,63,"shape",1.33333333333333
1,"patch",1,64,"shape",1
1,"patch",1,65,"shape",1.34164078649987
1,"patch",1,66,"shape",1.20604537831105
1,"patch",1,67,"shape",1
1,"patch",1,68,"shape",1.78885438199983
1,"patch",1,69,"shape",1
1,"patch",1,70,"shape",3.17542648054294
1,"patch",1,71,"shape",1
1,"patch",1,72,"shape",1.51096620343558
1,"patch",1,73,"shape",7.6786056228875
1,"patch",1,74,"shape",1.49521610195769
1,"patch",1,75,"shape",2.06930234502403
1,"patch",1,76,"shape",2.23606797749979
1,"patch",1,77,"shape",1
1,"patch",1,78,"shape",3.33602159723305
1,"patch",1,79,"shape",2.05979819279495
1,"patch",1,80,"shape",1
1,"patch",1,81,"shape",1.06066017177982
1,"patch",1,82,"shape",2.28217732293819
1,"patch",1,83,"shape",2.50283929676968
1,"patch",1,84,"shape",1
1,"patch",1,85,"shape",1.57648156273616
1,"patch",1,86,"shape",1.75
1,"patch",1,87,"shape",1
1,"patch",1,88,"shape",1.20019839629796
1,"patch",1,89,"shape",1
1,"patch",1,90,"shape",1.69774937525433
1,"patch",1,91,"shape",1.10679718105893
1,"patch",1,92,"shape",1.98464155033934
1,"patch",1,93,"shape",1
1,"patch",1,94,"shape",1
1,"patch",1,95,"shape",1.68454342988365
1,"patch",1,96,"shape",2.52467497706881
1,"patch",1,97,"shape",5.34069891441643
1,"patch",1,98,"shape",1.06066017177982
1,"patch",1,99,"shape",1
1,"patch",1,100,"shape",1.44337567297406
1,"patch",1,101,"shape",1
1,"patch",1,102,"shape",1.25
1,"patch",1,103,"shape",1
1,"patch",1,104,"shape",1.06066017177982
1,"patch",1,105,"shape",2
1,"patch",1,106,"shape",1
1,"patch",1,107,"shape",1.41421356237309
1,"patch",1,108,"shape",1.06066017177982
1,"patch",1,109,"shape",1
1,"patch",1,110,"shape",1
1,"patch",1,111,"shape",1
1,"patch",1,112,"shape",2.17662695885923
1,"patch",1,113,"shape",1
1,"patch",1,114,"shape",1
1,"patch",1,115,"shape",2.3922844831185
1,"patch",1,116,"shape",1.16743446317404
1,"patch",1,117,"shape",1.15470053837925
1,"patch",1,118,"shape",1.20604537831105
1,"patch",1,119,"shape",1
1,"patch",1,120,"shape",1.41841628653395
1,"patch",1,121,"shape",1.88982236504614
1,"patch",1,122,"shape",1.15470053837925
1,"patch",1,123,"shape",1.20049009599756
1,"patch",1,124,"shape",1.05528970602217
1,"patch",1,125,"shape",1.63299316185545
1,"patch",1,126,"shape",1
1,"patch",1,127,"shape",1.23743686707646
1,"patch",1,128,"shape",1.90272937452537
1,"patch",1,129,"shape",3.808030526562
1,"patch",1,130,"shape",2.47617307468675
1,"patch",1,131,"shape",1.63299316185545
1,"patch",1,132,"shape",2.21602156256703
1,"patch",1,133,"shape",1.06066017177982
1,"patch",1,134,"shape",1
1,"patch",1,135,"shape",1
1,"patch",1,136,"shape",1
1,"patch",1,137,"shape",1
1,"patch",1,138,"shape",1.9721066262894
1,"patch",1,139,"shape",1.06066017177982
1,"patch",1,140,"shape",1.37649440322337
1,"patch",1,141,"shape",1.06066017177982
1,"patch",1,142,"shape",1.56524758424985
1,"patch",1,143,"shape",1.6583123951777
1,"patch",1,144,"shape",1.56524758424985
1,"patch",1,145,"shape",1
1,"patch",1,146,"shape",1.73925271309261
1,"patch",1,147,"shape",1.33333333333333
1,"patch",1,148,"shape",1.5
1,"patch",1,149,"shape",2.00160192256359
1,"patch",1,150,"shape",1
1,"patch",1,151,"shape",1.63299316185545
1,"patch",1,152,"shape",1
